DATE,RATE
2016-12-31,67.9669
2016-12-30,67.9728
2016-12-29,67.945
2016-12-28,68.2289
2016-12-27,67.9965
2016-12-26,67.76
2016-12-25,67.8408
2016-12-24,67.8423
2016-12-23,67.84
2016-12-22,67.8825
2016-12-21,67.8175
2016-12-20,67.935
2016-12-19,67.8485
2016-12-18,67.845
2016-12-17,67.845
2016-12-16,67.812231
2016-12-15,67.81411
2016-12-14,67.445631
2016-12-13,67.47423
2016-12-12,67.3901
2016-12-11,67.4469
2016-12-10,67.45328
2016-12-09,67.46111
2016-12-08,67.47328
2016-12-07,67.602899
2016-12-06,67.823821
2016-12-05,68.02866
2016-12-04,68.053199
2016-12-03,68.087329
2016-12-02,68.129489
2016-12-01,68.34835
2016-11-30,68.53147
2016-11-29,68.61754
2016-11-28,68.596161
2016-11-27,68.50112
2016-11-26,68.49922
2016-11-25,68.55824
2016-11-24,68.72991
2016-11-23,68.646551
2016-11-22,68.29168
2016-11-21,68.1947
2016-11-20,68.14674
2016-11-19,68.12915
2016-11-18,68.045699
2016-11-17,67.90037
2016-11-16,67.98276
2016-11-15,67.787991
2016-11-14,67.69204
2016-11-13,67.49844
2016-11-12,67.4411
2016-11-11,67.33661
2016-11-10,66.843559
2016-11-09,66.49981
2016-11-08,66.487509
2016-11-07,66.740301
2016-11-06,66.7633
2016-11-05,66.75023
2016-11-04,66.72807
2016-11-03,66.70309
2016-11-02,66.72463
2016-11-01,66.73545
2016-10-31,66.730219
2016-10-30,66.790521
2016-10-29,66.80075
2016-10-28,66.797291
2016-10-27,66.84553
2016-10-26,66.808161
2016-10-25,66.81637
2016-10-24,66.87586
2016-10-23,66.91254
2016-10-22,66.90937
2016-10-21,66.87639
2016-10-20,66.79251
2016-10-19,66.664111
2016-10-18,66.72592
2016-10-17,66.7839
2016-10-16,66.703319
2016-10-15,66.711369
2016-10-14,66.73387
2016-10-13,66.854999
2016-10-12,66.74813
2016-10-11,66.69221
2016-10-10,66.50828
2016-10-09,66.61136
2016-10-08,66.65433
2016-10-07,66.62607
2016-10-06,66.63707
2016-10-05,66.5219
2016-10-04,66.51983
2016-10-03,66.547061
2016-10-02,66.580821
2016-10-01,66.603251
2016-09-30,66.622471
2016-09-29,66.712271
2016-09-28,66.48775
2016-09-27,66.547771
2016-09-26,66.617641
2016-09-25,66.696019
2016-09-24,66.684569
2016-09-23,66.67323
2016-09-22,66.71177
2016-09-21,67.01629
2016-09-20,67.00599
2016-09-19,66.99026
2016-09-18,67.071421
2016-09-17,67.047191
2016-09-16,67.046531
2016-09-15,66.924669
2016-09-14,66.85563
2016-09-13,67.001851
2016-09-12,66.849941
2016-09-11,66.84884
2016-09-10,66.80315
2016-09-09,66.73659
2016-09-08,66.49479
2016-09-07,66.41385
2016-09-06,66.377571
2016-09-05,66.57202
2016-09-04,66.6774
2016-09-03,66.70947
2016-09-02,66.76053
2016-09-01,66.90379
2016-08-31,66.989989
2016-08-30,67.11749
2016-08-29,67.168961
2016-08-28,67.12808
2016-08-27,67.10043
2016-08-26,67.030251
2016-08-25,67.055931
2016-08-24,67.106671
2016-08-23,67.104831
2016-08-22,67.182579
2016-08-21,67.11174
2016-08-20,67.08403
2016-08-19,67.05113
2016-08-18,66.85921
2016-08-17,66.88619
2016-08-16,66.81481
2016-08-15,66.87006
2016-08-14,66.888841
2016-08-13,66.874241
2016-08-12,66.846309
2016-08-11,66.77991
2016-08-10,66.75725
2016-08-09,66.79337
2016-08-08,66.812479
2016-08-07,66.81704
2016-08-06,66.81499
2016-08-05,66.82371
2016-08-04,66.93261
2016-08-03,66.759313
2016-08-02,66.74651
2016-08-01,66.71914
2016-07-31,66.76942
2016-07-30,66.81589
2016-07-29,66.87707
2016-07-28,67.05693
2016-07-27,67.20106
2016-07-26,67.33949
2016-07-25,67.2774
2016-07-24,67.14652
2016-07-23,67.14995
2016-07-22,67.16489
2016-07-21,67.17235
2016-07-20,67.17851
2016-07-19,67.15504
2016-07-18,67.13708
2016-07-17,67.09868
2016-07-16,67.07981
2016-07-15,67.04599
2016-07-14,66.89177
2016-07-13,67.11035
2016-07-12,67.07123
2016-07-11,67.110041
2016-07-10,67.17766
2016-07-09,67.22069
2016-07-08,67.25639
2016-07-07,67.47417
2016-07-06,67.43565
